Gene_Symbol,ES3
ZC3H15,2.315962996
MAP2K4,0.325882347
TMEM206,2.055034722
SNAP91,-0.872759445
SLK,0.667752273
CYB5R4,0.722113879
COL17A1,-0.841027953
GSTO2,-0.580061121
SEC61A2,-0.576059121
PRKCQ,-0.89329995
TLE2,0.643790023
ASB1,0.831496621
FAM107B,0.646435141
ME1,1.179352241
TBC1D1,-0.438046681
CDK13,0.359370335
MTHFD2,3.09316385
SLC9A7,-0.779078462
PDE4A,-0.849568667
PPP2R5A,0.240860497
CTNNA2,-0.896509086
ELAVL1,1.357028962
TIE1,-0.833386304
DIP2B,-0.075633651
SMARCD1,-0.571696733
KDM4A,2.220718723
NFYC,0.591329246
ZMYND12,-0.92687529
SLC9A3,-0.860797278
NGEF,-0.075360526
ASPM,1.533332584
CD84,-0.809750534
ELOVL1,0.44050947
SPI1,-0.836787257
ZNRD1,1.899975435
MPPED2,-0.895134727
CLDN18,-0.892259045
ZBTB11,0.860223742
ATXN3,-0.118576042
GOLGA5,1.408928064
FGFR2,-0.82596013
LRRC40,2.010684171
ISOC1,0.882638434
EML1,-0.475944032
THUMPD1,1.717268121
KIF26A,-0.062620399
ATG2B,0.12216271
ARFGEF1,1.181796298
ACSM2B,-0.74469241
ZFAT,-0.767079865
MTFR1,0.397913868
STAG3,-0.551643158
FECH,0.308774344
MYO9A,-0.540890578
DDX3Y,-0.665797278
PFKP,1.342057205
IDI1,0.598262437
SP100,-0.638476439
KLF6,0.691608614
PPAP2A,1.073963327
NEO1,0.427712812
TRAM1,1.785501439
PHKA1,-0.897556811
TNFRSF1A,-0.343348828
CACNB1,-0.736809169
EVI5,0.180827492
STOML1,-0.497649401
PKM,0.741044791
DHX29,1.433993506
DNTTIP2,1.877738062
METTL22,1.357285144
TP53BP1,0.059526553
TRO,0.375478453
RRP15,0.39358919
RHOA,2.346138089
DHX8,0.064095828
PRKCZ,0.327071882
ZFY,-0.979323176
IARS2,2.338250708
SYT1,1.337673933
NAV3,-0.693544565
IDH3G,2.220865747
ROGDI,-0.278586329
PDZD4,-0.26597118
ATP2B3,-0.648086707
ROCK1,-0.868553976
CBFB,1.038417325
PDK3,-0.228719966
HYAL2,0.797248602
HDAC4,-0.646786711
RASSF1,0.480696457
FGFR3,-0.447774185
IFI35,-0.433113531
HEATR6,0.472094442
COASY,0.478612703
PLEKHH3,-0.124770379
MEF2A,1.142635689
OTUD5,0.01327982
TFE3,-0.338323081
